symbol,date,period,currency,exchange,open,high,low,close,volume,vwap,change,change_percent,company_name,sector,industry,country,market_cap,price,beta,employees,revenue,net_income,eps,eps_diluted,pe_ratio,pb_ratio,debt_to_equity,current_ratio,roe,roa,daily_range,export_timestamp,data_source,tool_version
AAPL,2025-11-14,daily,USD,NASDAQ,154.239059,155.363789,153.861952,154.869442,83775557,155.119094,0.469442,0.312961,AAPL Corporation,Technology,Consumer Electronics,United States,2477911067066,154.869442,1.294000,180011,329336748351,51848095840,3.56,5.13,21.310000,41.690000,2.200000,1.34,0.727,0.139,1.501837,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-13,daily,USD,NASDAQ,152.180645,153.200669,151.312684,152.294107,47401201,151.882004,-2.005893,-1.337262,AAPL Corporation,Technology,Consumer Electronics,United States,2436705707943,152.294107,1.293000,81500,221303987928,89267765145,4.84,7.06,25.500000,49.570000,1.680000,1.37,0.551,0.075,1.887985,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-12,daily,USD,NASDAQ,156.001386,156.488700,155.299867,156.456101,61731966,156.177444,2.256101,1.504068,AAPL Corporation,Technology,Consumer Electronics,United States,2503297622457,156.456101,1.292000,86593,285007941338,60413717214,5.79,7.79,25.040000,35.030000,0.560000,0.92,0.219,0.281,1.188833,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-11,daily,USD,NASDAQ,154.336077,155.232752,154.113813,154.733419,45267026,154.853178,0.633419,0.422279,AAPL Corporation,Technology,Consumer Electronics,United States,2475734704725,154.733419,1.291000,52170,284971932377,59069291387,4.21,6.56,23.940000,42.340000,1.780000,1.95,0.738,0.148,1.118939,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-10,daily,USD,NASDAQ,156.271470,157.961260,155.176022,155.951151,24874523,156.097825,1.951151,1.300767,AAPL Corporation,Technology,Consumer Electronics,United States,2495218408515,155.951151,1.290000,170319,206446071334,83399998536,3.94,5.7,21.130000,33.520000,2.060000,1.94,0.597,0.391,2.785238,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-09,daily,USD,NASDAQ,156.758448,157.832124,155.801891,156.300741,77887479,156.417750,2.400741,1.600494,AAPL Corporation,Technology,Consumer Electronics,United States,2500811851096,156.300741,1.289000,69527,222339851392,83321432366,5.46,5.62,18.220000,33.160000,2.400000,1.38,0.249,0.108,2.030233,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-08,daily,USD,NASDAQ,150.824946,152.025827,150.175286,151.848120,90548393,151.430929,-1.951880,-1.301253,AAPL Corporation,Technology,Consumer Electronics,United States,2429569926913,151.848120,1.288000,133519,369391483254,51943092884,6.39,3.04,18.100000,33.800000,0.820000,1.13,0.115,0.241,1.850541,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-07,daily,USD,NASDAQ,154.839455,155.438370,153.161656,153.923149,36875559,153.973674,0.223149,0.148766,AAPL Corporation,Technology,Consumer Electronics,United States,2462770390166,153.923149,1.287000,133692,224433961352,56228682654,5.36,5.42,17.400000,31.460000,0.760000,1.8,0.743,0.294,2.276714,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-06,daily,USD,NASDAQ,152.988861,153.976505,153.141130,153.141354,26974401,153.486521,-0.458646,-0.305764,AAPL Corporation,Technology,Consumer Electronics,United States,2450261671772,153.141354,1.286000,133364,363908117032,52433578524,6.14,5.14,15.780000,25.700000,2.020000,1.57,0.72,0.17,0.835375,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-05,daily,USD,NASDAQ,153.174524,153.957412,152.245486,153.072286,33638076,152.874394,-0.427714,-0.285142,AAPL Corporation,Technology,Consumer Electronics,United States,2449156583587,153.072286,1.285000,62371,380477963475,62196872604,5.41,4.73,19.030000,49.490000,0.620000,1.64,0.594,0.17,1.711926,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-04,daily,USD,NASDAQ,152.984492,153.426717,151.582429,152.946411,43639303,153.372058,-0.453589,-0.302393,AAPL Corporation,Technology,Consumer Electronics,United States,2447142571962,152.946411,1.284000,95572,373725156096,90157194438,5.6,5.86,18.260000,44.630000,1.710000,1.26,0.398,0.249,1.844288,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-03,daily,USD,NASDAQ,153.265110,154.249926,152.254007,153.575877,58696965,153.219102,0.275877,0.183918,AAPL Corporation,Technology,Consumer Electronics,United States,2457214038465,153.575877,1.283000,165640,368976368931,73145650967,5.19,5.48,30.400000,27.740000,2.210000,1.07,0.417,0.266,1.995919,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-02,daily,USD,NASDAQ,153.179067,154.403163,151.775173,153.390534,47331545,153.521881,0.190534,0.127022,AAPL Corporation,Technology,Consumer Electronics,United States,2454248536351,153.390534,1.282000,67010,371578516043,80258030479,3.33,3.36,21.980000,28.960000,0.710000,1.15,0.594,0.142,2.627990,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
AAPL,2025-11-01,daily,USD,NASDAQ,156.077017,157.863136,155.142022,156.412456,83082400,156.320692,3.312456,2.208304,AAPL Corporation,Technology,Consumer Electronics,United States,2502599292355,156.412456,1.281000,97316,337034331229,69015244211,4.09,4.56,22.160000,25.830000,1.010000,1.66,0.167,0.302,2.721114,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-14,daily,USD,NYSE,156.661470,158.662201,156.190215,156.950714,68582820,156.771518,2.550714,1.700476,TSLA Corporation,Healthcare,Consumer Electronics,United States,2511211416554,156.950714,1.294000,97823,397382991930,79810333777,6.02,3.71,32.850000,33.660000,1.400000,1.99,0.17,0.089,2.471986,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-13,daily,USD,NYSE,151.395372,152.210485,150.543351,151.059619,57151306,151.088629,-3.240381,-2.160254,TSLA Corporation,Healthcare,Consumer Electronics,United States,2416953905908,151.059619,1.293000,55719,365647120420,61535944518,3.48,5.87,16.730000,27.840000,2.290000,1.32,0.51,0.055,1.667134,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-12,daily,USD,NYSE,154.603837,154.969619,152.852195,154.671483,49097023,154.562258,0.471483,0.314322,TSLA Corporation,Healthcare,Consumer Electronics,United States,2474743720286,154.671483,1.292000,193206,236019631243,55598420842,5.19,5.02,24.080000,32.160000,2.450000,1.35,0.304,0.316,2.117424,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-11,daily,USD,NYSE,155.970866,157.037676,154.550037,156.524012,86871735,156.349688,2.424012,1.616008,TSLA Corporation,Healthcare,Consumer Electronics,United States,2504384198697,156.524012,1.291000,71192,399390509002,53742318393,5.82,6.77,23.380000,25.210000,2.440000,1.95,0.613,0.137,2.487639,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-10,daily,USD,NYSE,152.203844,153.693739,150.985040,152.525848,45362476,152.701364,-1.474152,-0.982768,TSLA Corporation,Healthcare,Consumer Electronics,United States,2440413575648,152.525848,1.290000,186215,306204004831,63524964370,3.32,3.88,15.860000,40.090000,0.830000,1.95,0.328,0.306,2.708699,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-09,daily,USD,NYSE,154.296821,154.543255,152.527915,153.400692,73390175,153.071125,-0.499308,-0.332872,TSLA Corporation,Healthcare,Consumer Electronics,United States,2454411068708,153.400692,1.289000,108666,383007046729,66299704313,6.43,3.97,26.880000,36.930000,1.710000,0.81,0.767,0.14,2.015340,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-08,daily,USD,NYSE,152.839253,153.969801,151.400409,152.692540,71947865,152.950867,-1.107460,-0.738307,TSLA Corporation,Healthcare,Consumer Electronics,United States,2443080634328,152.692540,1.288000,69782,304938047288,64318611775,3.69,6.51,16.480000,37.080000,1.730000,1.73,0.598,0.057,2.569392,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-07,daily,USD,NYSE,153.432596,155.206920,152.497907,153.531979,30182697,153.314528,-0.168021,-0.112014,TSLA Corporation,Healthcare,Consumer Electronics,United States,2456511659412,153.531979,1.287000,76512,236438054405,67968944430,7.77,3.76,32.100000,28.910000,1.450000,1.13,0.488,0.167,2.709013,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
TSLA,2025-11-06,daily,USD,NYSE,154.632342,156.169932,152.264204,154.384897,19770715,154.654417,0.784897,0.523265,TSLA Corporation,Healthcare,Consumer Electronics,United States,2470158356578,154.384897,1.286000,180122,232638222620,92745943931,6.33,4.76,32.840000,47.210000,0.890000,1.97,0.402,0.094,3.905728,2025-11-15T10:41:15.581065,FMP_Cached_Provider,1.0.0
